학년|교과목명|과목코드|학과코드|과목번호|학점|시간|담당교수|강좌번호|제한인원|요일|시작시간|종료시간|강의실|비고
전학년|영어회화2|교필109|교필|109|1|2|데본|0083|20|월|11:00|11:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0083|20|수|11:00|11:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0084|20|월|12:00|12:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0084|20|수|12:00|12:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0085|20|월|14:00|14:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0085|20|수|14:00|14:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0086|20|월|15:00|15:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0086|20|수|15:00|15:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0087|20|월|16:00|16:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0087|20|수|16:00|16:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0088|20|화|10:00|10:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0088|20|목|10:00|10:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0089|20|화|11:00|11:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0089|20|목|11:00|11:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0090|20|화|12:00|12:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0090|20|목|12:00|12:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0091|20|화|14:00|14:50|Y9230|
전학년|영어회화2|교필109|교필|109|1|2|데본|0091|20|목|14:00|14:50|Y9230|
